medical_specialty,total_patients,readmission_rate_pct,avg_stay_days,avg_medications,avg_lab_procedures
Hematology/Oncology,206,19.42,4.83,15.15,32.13
Oncology,348,18.97,5.14,16.18,41.3
PhysicalMedicineandRehabilitation,391,15.35,8.87,13.6,38.11
Nephrology,1612,15.32,5.02,17.77,43.26
Surgery-Vascular,533,13.88,4.12,20.98,33.21
Psychiatry,854,12.18,6.39,11.59,38.96
Family/GeneralPractice,7440,11.87,4.36,14.34,42.88
InternalMedicine,14631,11.24,4.58,14.75,49.55
Emergency/Trauma,7564,11.18,4.36,14.4,42.47
Surgery-General,3099,11.04,4.55,16.82,37.97
Pulmonology,871,11.02,5.24,15.59,49.81
Gastroenterology,564,10.99,4.53,13.83,39.12
Orthopedics,1400,10.79,3.98,20.71,29.17
Surgery-Thoracic,109,10.09,4.99,25.37,44.52
Urology,680,10.0,3.41,14.9,30.52
