feature,shap_importance
change,0.8651091
utilization_score,0.824153
num_meds_active,0.47694993
num_meds_changed,0.47546026
number_inpatient,0.39469278
number_outpatient,0.3513148
number_emergency,0.29342455
gender,0.25786662
admission_type_id,0.24273795
discharge_disposition_id,0.23569097
diag_1_category,0.21484356
insulin,0.20221028
diabetesMed,0.20076898
number_diagnoses,0.1931633
num_procedures,0.16057609
admission_source_id,0.15292531
num_medications,0.1399121
race,0.10091674
A1Cresult,0.09404503
age_numeric,0.082658716
time_in_hospital,0.076770864
num_lab_procedures,0.07054665
max_glu_serum,0.056636754
